trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t27.97684 lA True rA True pd1 3.310959 pd2 3.011566 eo1 0.9214054 eo2 0.8073841 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.3) go2 (-30.9, 0.5, -24.3)
trial 0 t27.99864 lA True rA True pd1 3.269623 pd2 3.011078 eo1 0.9240861 eo2 0.8106591 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.3) go2 (-30.9, 0.5, -24.4)
trial 0 t28.02053 lA True rA True pd1 3.288956 pd2 3.002808 eo1 0.9152901 eo2 0.7985784 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.8, -22.3) go2 (-30.9, 0.5, -24.4)
trial 0 t28.04247 lA True rA True pd1 3.294449 pd2 3.002594 eo1 0.9237564 eo2 0.7899727 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.8, -22.2) go2 (-30.9, 0.5, -24.4)
trial 0 t28.06427 lA True rA True pd1 3.294998 pd2 3.059692 eo1 0.9185525 eo2 0.7944506 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.8, -22.2) go2 (-30.9, 0.4, -24.4)
trial 0 t28.0864 lA True rA True pd1 3.294815 pd2 3.029572 eo1 0.9255738 eo2 0.8091632 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.8, -22.2) go2 (-30.9, 0.4, -24.4)
trial 0 t28.10832 lA True rA True pd1 3.295273 pd2 3.057556 eo1 0.9121546 eo2 0.8093271 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.8, -22.2) go2 (-30.9, 0.4, -24.4)
trial 0 t28.1307 lA True rA True pd1 3.270721 pd2 3.057358 eo1 0.9194259 eo2 0.7872663 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.8, -22.2) go2 (-30.9, 0.4, -24.4)
trial 0 t28.15283 lA True rA True pd1 3.376175 pd2 3.17717 eo1 0.942628 eo2 0.7942491 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.9, -22.3) go2 (-30.9, 0.5, -24.2)
trial 0 t28.17525 lA True rA True pd1 3.302582 pd2 3.006073 eo1 0.9445808 eo2 0.8153052 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.3, 0.9) go1 (32.5, 6.1, -22.2) go2 (-30.9, 0.7, -24.5)
trial 0 t28.19725 lA True rA True pd1 3.324097 pd2 2.99971 eo1 0.9375155 eo2 0.8255041 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.3, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.9, 0.7, -24.5)
trial 0 t28.21944 lA True rA True pd1 3.335037 pd2 2.996109 eo1 0.9490686 eo2 0.8485284 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.3, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.9, 0.7, -24.5)
trial 0 t28.24183 lA True rA True pd1 3.326996 pd2 2.992462 eo1 0.9510941 eo2 0.8377174 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.3, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.9, 0.7, -24.5)
trial 0 t28.27495 lA True rA True pd1 3.326981 pd2 2.992462 eo1 0.9587923 eo2 0.8339899 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.3, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.9, 0.7, -24.5)
trial 0 t28.29719 lA True rA True pd1 3.322983 pd2 2.994766 eo1 0.9674227 eo2 0.8670284 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.3, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.9, 0.7, -24.5)
trial 0 t28.31954 lA True rA True pd1 3.326462 pd2 2.99028 eo1 0.9581849 eo2 0.8446505 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.3, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.9, 0.7, -24.6)
trial 0 t28.3413 lA True rA True pd1 3.322098 pd2 2.984299 eo1 0.9561727 eo2 0.856219 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.3, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.9, 0.7, -24.7)
trial 0 t28.36415 lA True rA True pd1 3.321823 pd2 2.979111 eo1 0.9679397 eo2 0.8503072 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.3, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.9, 0.7, -24.8)
